file_name,resolved_path,stats
0018.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0018.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855465, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=223, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0006.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0006.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855453, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=78, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0014.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0014.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855461, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=175, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0007.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0007.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855397, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=90, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0016.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0016.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855406, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=199, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0019.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0019.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855466, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=235, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0002.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0002.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855392, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=29, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0003.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0003.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854568, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=41, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0017.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0017.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854582, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=211, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0012.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0012.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855459, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=151, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
